species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Brazil,30,60 kg,Semi-Washed,7.75,7.67,7.58,10.0
Arabica,Colombia,250,70 kg,Washed,7.67,7.58,7.83,10.0
Arabica,Colombia,175,70 kg,Washed,7.67,7.67,7.58,10.0
Arabica,Brazil,320,60 kg,Natural,7.67,7.42,7.67,10.0
Arabica,Guatemala,275,69 kg,Washed,7.58,7.58,7.75,10.0
Arabica,"Tanzania, United Republic Of",320,60 kg,Washed,7.67,7.58,7.67,10.0
Arabica,Vietnam,1,2 kg,Natural,7.58,7.42,7.58,10.0
Arabica,Guatemala,250,1500 kg,Washed,7.67,7.75,7.58,10.0
Arabica,Honduras,275,69 kg,Washed,7.67,7.67,7.5,10.0
Arabica,China,3,60 kg,Washed,7.5,7.67,7.67,10.0
Arabica,China,3,60 kg,Washed,7.67,7.67,7.42,10.0
Arabica,El Salvador,275,69 kg,Washed,7.5,7.5,8.0,10.0
Arabica,Guatemala,150,69 kg,Washed,7.5,7.75,7.58,10.0
Arabica,Guatemala,100,69 kg,Washed,7.92,7.67,7.5,10.0
Arabica,Kenya,300,2 kg,Washed,7.83,7.75,7.83,9.33
Arabica,Thailand,1,1 kg,Washed,7.67,7.58,7.42,10.0
Arabica,"Tanzania, United Republic Of",180,60 kg,Washed,7.58,7.67,7.42,10.0
Arabica,Colombia,232,70 kg,Washed,7.58,7.5,7.5,10.0
Arabica,Uganda,84,60 kg,Washed,8.0,7.67,7.33,10.0
Arabica,Colombia,1,4 lbs,Washed,7.58,7.75,7.58,10.0
Arabica,Honduras,275,1 kg,Natural,7.5,7.5,7.67,10.0
Arabica,Honduras,275,1 kg,Natural,7.67,7.67,7.5,10.0
Arabica,Guatemala,200,69 kg,Washed,7.33,7.83,7.33,10.0
Arabica,United States (Hawaii),6,100 lbs,Natural,7.5,7.5,7.92,10.0
Arabica,"Tanzania, United Republic Of",300,1 kg,Washed,7.58,7.5,7.58,10.0
Arabica,Guatemala,250,69 kg,Washed,7.67,7.83,7.5,10.0
Arabica,Mexico,45,1 kg,Washed,7.75,7.58,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,7.75,7.67,7.42,10.0
Arabica,Mexico,10,1 kg,Washed,7.58,7.75,7.5,10.0
Arabica,Colombia,275,70 kg,Washed,7.67,7.5,7.58,10.0
Arabica,Mexico,15,1 kg,Washed,7.75,7.5,7.58,10.0
Arabica,Mexico,250,1 kg,Washed,7.5,7.75,7.67,10.0
Arabica,Brazil,50,60 kg,Natural,7.75,7.67,7.58,10.0
Arabica,Brazil,100,60 kg,Natural,7.92,7.58,7.42,10.0
Arabica,Guatemala,250,2 kg,Washed,7.75,7.5,7.92,10.0
Arabica,Brazil,25,60 kg,Semi-Washed,7.75,7.5,7.75,10.0
Arabica,Colombia,275,70 kg,Washed,7.58,7.67,7.75,10.0
Arabica,Colombia,275,70 kg,Washed,7.75,7.5,8.0,10.0
Arabica,Brazil,320,60 kg,Pulped-Natural,7.58,7.58,7.67,10.0
Arabica,Brazil,320,2 kg,Natural,7.33,7.67,7.75,10.0
Arabica,Taiwan,20,60 kg,Natural,7.83,7.92,7.67,9.33
Arabica,Brazil,300,60 kg,Natural,7.42,7.67,7.75,10.0
Arabica,Brazil,300,2 kg,Washed,7.58,7.83,7.42,10.0
Arabica,Costa Rica,250,1 kg,Washed,7.83,7.33,7.58,10.0
Arabica,United States (Hawaii),16,100 lbs,Natural,7.33,7.75,7.83,10.0
Arabica,Taiwan,50,30 kg,,7.75,7.75,7.5,10.0
Arabica,United States (Hawaii),6,100 lbs,Natural,7.83,7.83,7.75,10.0
Arabica,Mexico,10,1 kg,Washed,7.75,7.67,7.5,10.0
Arabica,United States (Hawaii),7,100 lbs,Natural,7.67,7.58,7.92,9.33
Arabica,United States (Hawaii),6,100 lbs,Washed,7.33,7.58,7.67,10.0
Arabica,Brazil,320,60 kg,Natural,7.58,7.5,7.67,10.0
Arabica,Brazil,320,60 kg,Natural,7.5,7.58,7.58,10.0
Arabica,Brazil,320,60 kg,Natural,7.5,7.67,7.58,10.0
Arabica,Uganda,310,60 kg,Washed,7.67,7.58,7.83,10.0
Arabica,Uganda,325,60 kg,Natural,7.67,7.67,7.42,10.0
Arabica,Vietnam,2,2 kg,,7.75,7.67,7.42,9.33
Arabica,Guatemala,275,69 kg,Washed,7.67,7.75,7.42,10.0
Arabica,Guatemala,200,69 kg,Washed,7.75,7.67,7.5,10.0
Arabica,Guatemala,250,69 kg,Washed,7.83,7.67,7.75,10.0
Arabica,Brazil,305,2 kg,Natural,7.67,7.67,7.42,10.0
Arabica,Taiwan,10,60 kg,Washed,7.92,7.92,7.33,10.0
Arabica,Uganda,300,60 kg,Washed,7.83,7.58,7.58,10.0
Arabica,United States (Puerto Rico),17,5 lbs,Washed,7.67,7.5,7.75,10.0
Arabica,Guatemala,26,69 kg,Washed,7.67,7.67,7.5,10.0
Arabica,Costa Rica,250,1 kg,Washed,7.67,7.58,7.5,10.0
Arabica,Brazil,250,2 kg,Semi-Washed,7.75,7.58,7.42,10.0
Arabica,Colombia,120,70 kg,Washed,7.75,7.42,7.58,10.0
Arabica,Colombia,250,70 kg,Washed,7.83,7.5,7.5,10.0
Arabica,Colombia,250,70 kg,Natural,7.33,7.67,7.75,10.0
Arabica,Colombia,250,70 kg,Natural,7.58,7.75,7.58,10.0
Arabica,Colombia,275,70 kg,Washed,7.5,7.5,7.75,10.0
Arabica,Mexico,15,1 kg,Washed,7.67,7.58,7.67,10.0
Arabica,Mexico,20,1 kg,Semi-Washed,7.67,7.83,7.58,9.33
Arabica,Mexico,250,1 kg,Washed,7.5,7.67,7.58,10.0
Arabica,Colombia,250,70 kg,Natural,7.67,7.58,7.75,10.0
Arabica,Colombia,250,70 kg,Washed,7.75,7.58,7.83,9.33
Arabica,Guatemala,275,1 kg,Washed,7.5,7.67,7.5,10.0
Arabica,Colombia,121,1 kg,Washed,7.67,7.67,7.67,10.0
Arabica,Brazil,320,60 kg,Natural,7.67,7.58,7.58,10.0
Arabica,El Salvador,100,69 kg,Washed,7.5,7.5,7.92,10.0
Arabica,Colombia,129,70 kg,Washed,7.58,7.67,7.67,10.0
Arabica,Taiwan,10,20 kg,Natural,7.17,7.83,7.67,10.0
Arabica,Ethiopia,250,60 kg,Washed,7.58,7.58,7.58,10.0
Arabica,Taiwan,11,2 kg,Natural,7.5,7.58,7.5,10.0
Arabica,Philippines,250,2 kg,Washed,7.58,7.58,7.5,10.0
Arabica,Philippines,4,2 kg,Washed,8.08,7.5,7.33,10.0
Arabica,Mexico,11,2 kg,Natural,7.83,7.67,7.5,10.0
Arabica,Mexico,275,2 kg,Washed,7.75,7.67,7.75,10.0
Arabica,Brazil,300,2 kg,Semi-Washed,7.08,7.5,7.75,10.0
Arabica,Uganda,1,60 kg,Washed,8.0,7.5,7.33,10.0
Arabica,Uganda,1,60 kg,Washed,7.75,7.58,7.5,10.0
Arabica,Guatemala,250,69 kg,Washed,7.75,7.5,7.67,10.0
Arabica,Guatemala,26,69 kg,Natural,7.67,7.83,7.33,10.0
Arabica,Guatemala,1,2 kg,Washed,7.58,7.58,7.58,10.0
Arabica,Colombia,250,70 kg,Washed,7.58,7.5,7.58,10.0
Arabica,Colombia,250,70 kg,Natural,7.75,7.5,7.75,10.0
Arabica,Guatemala,250,69 kg,Washed,7.83,7.75,7.5,10.0
Arabica,Colombia,250,70 kg,Washed,7.83,7.67,7.5,10.0
Arabica,Mexico,15,1 kg,Natural,7.58,7.58,7.58,10.0
Arabica,Vietnam,1,2 kg,Natural,7.67,7.33,8.08,10.0
Arabica,Mexico,100,1 kg,Washed,8.0,7.92,7.67,9.33
Arabica,United States (Hawaii),8,100 lbs,Washed,7.5,7.5,7.67,10.0
Arabica,Kenya,27,50 kg,Washed,7.75,7.58,7.5,10.0
Arabica,Guatemala,50,69 kg,Washed,7.5,7.58,7.58,10.0
Arabica,Brazil,320,60 kg,Pulped-Natural,7.67,7.58,7.5,10.0
Arabica,El Salvador,275,69 kg,Washed,7.33,7.67,7.33,10.0
Arabica,Rwanda,150,60 kg,Washed,7.83,7.92,7.75,9.33
Arabica,Vietnam,3,2 kg,,7.25,7.58,7.75,10.0
Arabica,Guatemala,80,69 kg,Washed,7.58,7.58,7.67,10.0
Arabica,Brazil,300,60 kg,Natural,7.58,7.83,7.42,10.0
Arabica,Colombia,100,24 kg,Washed,7.83,7.67,7.5,10.0
Arabica,United States,300,60 kg,,7.42,7.58,7.75,10.0
Arabica,Guatemala,250,69 kg,Washed,7.67,7.67,7.42,10.0
Arabica,Colombia,40,1 kg,Natural,7.5,7.42,7.58,10.0
Arabica,Colombia,125,70 kg,Washed,7.83,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",300,2 kg,Washed,7.67,7.5,7.58,10.0
Arabica,Mexico,250,1 kg,Washed,7.58,7.67,7.5,10.0
Arabica,Mexico,250,1 kg,Washed,7.67,7.58,7.42,10.0
Arabica,Guatemala,250,1 kg,Washed,7.67,7.67,7.33,10.0
Arabica,Mexico,250,1 kg,Washed,7.58,7.58,7.67,10.0
Arabica,Guatemala,275,69 kg,Washed,7.5,7.58,7.58,10.0
Arabica,Guatemala,275,69 kg,Washed,7.58,7.67,7.5,10.0
Arabica,Guatemala,50,69 kg,Washed,7.5,7.67,7.67,10.0
Arabica,Guatemala,50,69 kg,Washed,7.5,7.5,7.67,10.0
Arabica,Guatemala,25,69 kg,Washed,7.42,7.58,7.5,10.0
Arabica,Indonesia,2,1 kg,,7.5,7.58,7.58,10.0
Arabica,Guatemala,25,69 kg,Washed,7.58,7.58,7.33,10.0
Arabica,Taiwan,8,10 kg,Natural,7.83,7.67,7.58,9.33
Arabica,El Salvador,275,69 kg,Washed,7.67,7.67,7.58,10.0
Arabica,Costa Rica,250,69 kg,Washed,7.58,7.5,7.42,10.0
Arabica,Honduras,275,69 kg,Natural,7.58,7.5,7.5,10.0
Arabica,Brazil,320,60 kg,Pulped-Natural,7.5,7.5,7.58,10.0
Arabica,China,3,60 kg,Natural,7.67,7.5,7.67,10.0
Arabica,China,3,60 kg,Washed,7.5,7.67,7.5,10.0
Arabica,Colombia,250,70 kg,Washed,7.5,7.58,7.33,10.0
Arabica,Malawi,29,60 kg,Washed,7.75,7.58,7.33,10.0
Arabica,Guatemala,250,69 kg,Washed,7.75,7.42,7.5,10.0
Arabica,Colombia,275,1 kg,Washed,7.67,7.42,7.33,10.0
Arabica,United States (Hawaii),10,80 lbs,Natural,7.67,7.58,7.33,10.0
Arabica,United States (Hawaii),6,100 lbs,Natural,7.58,7.83,7.42,9.33
Arabica,Colombia,250,1 kg,Washed,7.58,7.33,7.25,10.0
Arabica,Mexico,32,1 kg,Washed,7.58,7.58,7.5,10.0
Arabica,Mexico,250,1 kg,Washed,7.58,7.58,7.25,10.0
Arabica,Mexico,21,1 kg,Natural,8.08,8.17,7.83,6.67
Arabica,Colombia,250,70 kg,Washed,7.5,7.58,7.5,10.0
Arabica,Colombia,100,70 kg,Washed,7.67,7.58,7.5,10.0
Arabica,United States (Hawaii),6,100 lbs,Washed,7.25,7.75,7.67,9.33
Arabica,Panama,300,2 kg,Washed,7.42,7.42,7.5,10.0
Arabica,Brazil,320,60 kg,Natural,7.5,7.58,7.5,10.0
Arabica,Laos,60,50 kg,Washed,7.67,7.67,7.42,10.0
Arabica,El Salvador,275,69 kg,Washed,7.67,7.67,7.5,10.0
Arabica,Colombia,1,2 kg,Washed,7.75,7.5,7.33,10.0
Arabica,Brazil,320,2 kg,Natural,7.58,7.5,7.5,10.0
Arabica,Brazil,300,60 kg,Natural,7.33,7.5,7.67,10.0
Arabica,"Tanzania, United Republic Of",93,60 kg,Washed,7.5,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",77,60 kg,Washed,7.58,7.5,7.33,10.0
Arabica,Taiwan,10,60 kg,Washed,8.0,7.83,7.25,10.0
Arabica,Mexico,11,1 kg,Natural,7.67,7.58,7.42,10.0
Arabica,Uganda,1,60 kg,Washed,7.67,7.5,7.5,10.0
Arabica,Taiwan,10,30 kg,Washed,7.67,7.5,7.5,10.0
Arabica,Thailand,300,60 kg,Washed,7.42,7.5,7.58,10.0
Arabica,Colombia,250,70 kg,Washed,7.75,7.58,7.58,10.0
Arabica,El Salvador,288,1 kg,Washed,7.92,8.0,7.92,10.0
Arabica,Guatemala,275,69 kg,Washed,7.67,7.67,7.5,10.0
Arabica,Thailand,2,1 kg,Washed,7.83,7.33,7.58,10.0
Arabica,Mexico,36,1 kg,Washed,7.58,7.58,7.42,10.0
Arabica,Mexico,23,1 kg,Washed,7.5,7.58,7.42,10.0
Arabica,Guatemala,25,69 kg,Washed,7.5,7.42,7.5,10.0
Arabica,Taiwan,6,5 kg,Pulped-Natural,7.67,7.42,7.58,10.0
Arabica,Brazil,198,59 kg,Pulped-Natural,7.5,7.58,7.75,10.0
Arabica,Indonesia,150,2 kg,Semi-Washed,7.83,7.58,7.42,10.0
Arabica,Thailand,1,1 kg,Washed,7.75,7.33,7.42,10.0
Arabica,Thailand,50,20 kg,Washed,7.42,7.58,7.58,10.0
Arabica,"Tanzania, United Republic Of",10,60 kg,Washed,7.75,7.42,7.58,10.0
Arabica,Uganda,1,60 kg,Natural,7.83,7.5,7.42,10.0
Arabica,Costa Rica,250,1 kg,Washed,7.67,7.42,7.0,10.0
Arabica,Mexico,320,5 lbs,Washed,7.58,7.58,7.67,9.33
Arabica,Guatemala,1,2 kg,Natural,7.5,7.58,7.42,10.0
Arabica,Colombia,250,70 kg,Washed,7.75,7.25,7.5,10.0
Arabica,Colombia,250,70 kg,Washed,7.75,7.5,7.33,10.0
Arabica,Colombia,250,70 kg,Washed,7.58,7.5,7.67,10.0
Arabica,Mexico,50,1 kg,Washed,7.5,7.58,7.42,10.0
Arabica,Mexico,70,1 kg,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,275,70 kg,Washed,7.33,7.42,7.67,10.0
Arabica,Brazil,320,60 kg,Natural,7.5,7.5,7.58,10.0
Arabica,Indonesia,2,1 kg,Washed,7.83,7.75,7.42,10.0
Arabica,Honduras,275,69 kg,Washed,7.58,7.58,7.5,10.0
Arabica,Thailand,1,1 kg,Washed,7.5,7.83,7.33,9.33
Arabica,Thailand,50,20 kg,Washed,7.33,7.5,7.67,10.0
Arabica,"Tanzania, United Republic Of",37,60 kg,Washed,7.67,7.42,7.5,10.0
Arabica,"Tanzania, United Republic Of",5,60 kg,Washed,7.75,7.0,7.58,10.0
Arabica,Mexico,2,2 kg,Washed,7.42,7.58,7.25,10.0
Arabica,Brazil,69,60 kg,Semi-Washed,7.42,7.5,7.42,10.0
Arabica,Guatemala,250,69 kg,Washed,7.83,7.42,7.42,10.0
Arabica,Colombia,250,70 kg,Washed,7.5,7.5,7.58,10.0
Arabica,Guatemala,250,69 kg,Washed,7.83,7.67,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,7.5,7.58,7.42,10.0
Arabica,Mexico,10,1 kg,Washed,7.67,7.5,7.5,10.0
Arabica,Mexico,28,1 kg,Semi-Washed,7.92,7.5,7.25,10.0
Arabica,Guatemala,275,1 kg,Natural,7.67,7.33,7.5,10.0
Arabica,Brazil,300,60 kg,Semi-Washed,7.67,7.42,7.5,10.0
Arabica,Colombia,275,70 kg,Washed,7.67,7.5,7.25,10.0
Arabica,United States (Hawaii),7,100 lbs,Washed,7.33,7.42,7.42,10.0
Arabica,Honduras,1,2 kg,Washed,7.42,7.67,7.58,10.0
Arabica,Guatemala,50,69 kg,Washed,7.58,7.5,7.33,10.0
Arabica,Guatemala,50,69 kg,Washed,7.67,7.58,7.42,10.0
Arabica,Guatemala,20,69 kg,Washed,7.58,7.5,7.5,10.0
Arabica,Guatemala,275,69 kg,Washed,7.5,7.42,7.67,10.0
Arabica,Colombia,43,70 kg,Washed,5.08,7.75,7.83,10.0
Arabica,China,3,60 kg,Washed,7.67,7.42,7.42,10.0
Arabica,"Tanzania, United Republic Of",10,60 kg,Washed,7.67,7.25,7.67,10.0
Arabica,Brazil,320,2 kg,Natural,7.17,7.83,7.75,10.0
Arabica,Guatemala,250,1 kg,Washed,7.5,7.5,7.42,10.0
Arabica,Mexico,10,1 kg,Washed,7.42,7.5,7.42,10.0
Arabica,Brazil,39,60 kg,Semi-Washed,7.58,7.67,7.5,10.0
Arabica,Peru,320,5 lbs,Washed,7.58,7.58,7.5,9.33
Arabica,Brazil,220,60 kg,Natural,7.25,7.33,7.42,10.0
Arabica,Mexico,10,1 kg,Washed,7.5,7.58,7.42,9.33
Arabica,Honduras,1,2 kg,Washed,7.25,7.67,7.75,10.0
Arabica,Colombia,250,70 kg,Washed,7.67,7.42,7.58,10.0
Arabica,Mexico,49,1 kg,Washed,7.5,7.42,7.42,10.0
Arabica,Mexico,20,1 kg,Semi-Washed,7.42,7.58,7.58,10.0
Arabica,Mexico,35,1 kg,Washed,7.42,7.58,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,7.75,7.33,7.58,10.0
Arabica,Mexico,74,1 kg,Washed,7.5,7.58,7.5,10.0
Arabica,Mexico,26,1 kg,Washed,7.58,7.58,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,7.58,7.33,7.5,10.0
Arabica,Mexico,1,1 kg,Washed,7.67,7.58,7.58,10.0
Arabica,Mexico,10,1 kg,Washed,7.83,7.5,7.17,10.0
Arabica,Colombia,250,70 kg,Natural,7.67,7.33,7.5,10.0
Arabica,Brazil,51,60 kg,Natural,7.75,7.5,7.5,10.0
Arabica,Colombia,250,70 kg,Washed,7.33,7.58,7.42,10.0
Arabica,Honduras,275,69 kg,Washed,7.5,7.58,7.42,10.0
Arabica,Brazil,320,2 kg,Natural,7.33,7.5,7.5,10.0
Arabica,Brazil,305,59 kg,Natural,7.42,7.42,7.5,10.0
Arabica,Brazil,320,60 kg,Natural,7.5,7.5,7.42,10.0
Arabica,Costa Rica,100,69 kg,Washed,7.75,7.5,7.42,10.0
Arabica,Costa Rica,130,69 kg,Washed,7.75,7.33,7.33,10.0
Arabica,China,3,60 kg,Pulped-Natural,7.5,7.58,7.42,10.0
Arabica,Brazil,12,2 kg,Natural,8.25,7.83,8.17,10.0
Arabica,Brazil,300,60 kg,Natural,7.42,7.5,7.5,10.0
Arabica,Guatemala,275,69 kg,Washed,7.5,7.42,7.5,10.0
Arabica,Malawi,10,60 kg,Washed,7.33,7.58,7.33,10.0
Arabica,Brazil,10,2 kg,Natural,7.75,8.08,8.08,10.0
Arabica,Guatemala,250,69 kg,Washed,7.58,7.67,7.75,9.33
Arabica,Mexico,320,5 lbs,Washed,7.33,7.58,7.5,10.0
Arabica,Colombia,250,3 kg,Washed,7.42,7.33,7.08,10.0
Arabica,Taiwan,10,20 kg,Semi-Washed,7.5,7.5,7.5,10.0
Arabica,Taiwan,10,30 kg,Washed,7.5,7.5,7.5,10.0
Arabica,Guatemala,250,69 kg,Washed,7.5,7.42,7.5,10.0
Arabica,Colombia,250,70 kg,Washed,7.5,7.42,7.5,10.0
Arabica,Mexico,250,1 kg,Washed,7.67,7.5,7.42,10.0
Arabica,Costa Rica,275,1 kg,Washed,7.92,7.58,7.92,9.33
Arabica,Guatemala,275,69 kg,Washed,7.67,7.5,7.5,10.0
Arabica,Mexico,10,1 kg,Natural,7.58,7.67,7.0,10.0
Arabica,Mexico,10,1 kg,Washed,7.67,7.58,7.5,10.0
Arabica,Guatemala,250,1 kg,Washed,7.5,7.67,7.33,10.0
Arabica,Brazil,16,60 kg,Natural,7.58,7.5,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,8.0,7.75,7.08,9.33
Arabica,Brazil,44,60 kg,Washed,7.58,7.58,7.42,10.0
Arabica,Colombia,250,70 kg,Natural,7.83,7.58,7.58,10.0
Arabica,Brazil,1062,5 kg,Washed,7.58,7.5,7.67,10.0
Arabica,Guatemala,275,69 kg,Washed,7.67,7.5,7.42,10.0
Arabica,Brazil,180,2 kg,Natural,7.42,7.67,7.5,10.0
Arabica,El Salvador,275,1 kg,Washed,7.58,7.67,7.83,9.33
Arabica,Honduras,275,1 kg,Washed,7.58,7.5,7.42,10.0
Arabica,Malawi,10,60 kg,Washed,7.58,7.42,7.58,10.0
Arabica,Brazil,320,2 kg,Natural,7.75,7.58,7.33,10.0
Arabica,Taiwan,35,60 kg,Washed,7.5,7.5,7.5,10.0
Arabica,Mexico,150,1 kg,Washed,7.58,7.58,7.42,10.0
Arabica,United States (Hawaii),6,100 lbs,Natural,7.33,7.42,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,7.58,7.58,7.42,10.0
Arabica,Guatemala,275,69 kg,Washed,7.5,7.5,7.67,10.0
Arabica,Mexico,10,1 kg,Washed,7.5,7.58,7.33,10.0
Arabica,Mexico,40,1 kg,Washed,7.67,7.58,7.42,10.0
Arabica,El Salvador,288,1 kg,Washed,7.75,7.33,7.5,10.0
Arabica,Mexico,250,1 kg,Washed,7.33,7.58,7.33,10.0
Arabica,Mexico,250,1 kg,Washed,7.42,7.5,7.42,10.0
Arabica,Colombia,250,70 kg,Washed,7.5,7.42,7.58,10.0
Arabica,Colombia,100,70 kg,Washed,7.67,7.33,7.5,10.0
Arabica,Brazil,84,60 kg,Natural,7.67,7.58,7.5,10.0
Arabica,Brazil,320,60 kg,Natural,7.42,7.42,7.42,10.0
Arabica,Honduras,200,69 kg,Washed,7.5,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",30,80 kg,Washed,7.58,7.42,7.5,10.0
Arabica,"Tanzania, United Republic Of",300,60 kg,Washed,7.42,7.42,7.5,10.0
Arabica,Brazil,320,2 kg,Natural,6.92,7.58,7.83,10.0
Arabica,Thailand,1,1 kg,Washed,7.42,7.42,7.25,10.0
Arabica,Honduras,275,1 kg,Washed,7.67,7.5,7.58,10.0
Arabica,Guatemala,250,69 kg,Washed,7.42,7.42,7.42,10.0
Arabica,Brazil,300,60 kg,Natural,7.58,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",10,60 kg,Washed,7.75,7.42,7.33,10.0
Arabica,Mexico,200,1 kg,Washed,7.42,7.33,7.33,10.0
Arabica,Mexico,2,2 kg,Washed,7.5,7.5,7.5,10.0
Arabica,Taiwan,60,60 kg,,7.5,7.5,7.5,10.0
Arabica,Taiwan,80,10 kg,Washed,7.67,7.5,7.17,10.0
Arabica,Colombia,250,70 kg,Washed,7.33,7.25,7.75,10.0
Arabica,Mexico,10,1 kg,Washed,7.5,7.67,7.33,10.0
Arabica,Guatemala,250,1 kg,Washed,7.25,7.75,8.17,10.0
Arabica,Mexico,200,1 kg,Washed,7.5,7.58,7.5,10.0
Arabica,Mexico,60,1 kg,Washed,7.0,7.67,7.42,10.0
Arabica,Indonesia,2,1 kg,Washed,7.5,7.5,7.5,10.0
Arabica,Colombia,275,70 kg,Washed,7.75,7.58,7.83,9.33
Arabica,Brazil,320,60 kg,Natural,7.42,7.58,7.42,10.0
Arabica,Brazil,320,2 kg,Natural,7.25,7.25,7.25,10.0
Arabica,Costa Rica,275,350 kg,Washed,7.75,7.42,7.17,10.0
Arabica,"Tanzania, United Republic Of",300,2 kg,Washed,7.42,7.33,7.5,10.0
Arabica,"Tanzania, United Republic Of",1,60 kg,Washed,7.42,7.5,7.33,10.0
Arabica,Colombia,1,5 lbs,Washed,7.5,7.42,7.67,10.0
Arabica,Costa Rica,150,69 kg,Washed,7.58,7.33,7.5,10.0
Arabica,United States (Hawaii),4,100 lbs,Natural,7.25,7.58,7.5,10.0
Arabica,Mexico,35,1 kg,Washed,7.42,7.58,7.42,10.0
Arabica,Mexico,250,1 kg,Washed,7.5,7.42,7.25,10.0
Arabica,Mexico,15,1 kg,Washed,7.67,7.5,7.42,10.0
Arabica,Vietnam,1,2 kg,Natural,7.67,8.0,7.67,10.0
Arabica,Mexico,250,1 kg,Washed,7.58,7.42,7.33,10.0
Arabica,United States (Hawaii),10,100 lbs,Washed,7.33,7.5,7.08,10.0
Arabica,Honduras,275,69 kg,Washed,7.5,7.5,7.5,10.0
Arabica,Honduras,275,69 kg,Natural,7.5,7.5,7.42,10.0
Arabica,Brazil,230,60 kg,Natural,7.5,7.33,7.33,10.0
Arabica,"Tanzania, United Republic Of",2,80 kg,Washed,7.67,7.33,7.42,10.0
Arabica,Laos,1,2 kg,Washed,7.42,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",1,60 kg,Washed,7.42,7.42,7.33,10.0
Arabica,Malawi,16,60 kg,Washed,7.5,7.42,7.33,10.0
Arabica,Taiwan,50,20 kg,Washed,7.33,7.5,7.5,10.0
Arabica,Thailand,1,1 kg,Washed,7.58,7.5,7.33,10.0
Arabica,Costa Rica,250,1 kg,Washed,7.5,7.25,7.75,10.0
Arabica,Honduras,275,69 kg,Washed,7.33,7.33,7.5,10.0
Arabica,Colombia,250,70 kg,Washed,7.33,7.33,7.5,10.0
Arabica,Taiwan,30,10 kg,Washed,7.42,7.58,8.0,9.33
Arabica,Brazil,1,2 kg,Natural,7.33,7.67,7.33,10.0
Arabica,Mexico,15,1 kg,Washed,7.67,7.33,7.42,10.0
Arabica,Brazil,50,60 kg,Natural,7.42,7.5,7.33,10.0
Arabica,Brazil,75,60 kg,Semi-Washed,7.42,7.5,7.5,10.0
Arabica,Guatemala,250,1 kg,Natural,7.33,7.33,7.67,10.0
Arabica,Brazil,53,60 kg,Semi-Washed,7.58,7.5,7.5,10.0
Arabica,Guatemala,250,2 kg,Washed,7.75,7.33,7.75,10.0
Arabica,Guatemala,25,69 kg,Washed,7.58,7.5,7.58,9.33
Arabica,Guatemala,50,69 kg,Washed,7.5,7.5,7.42,10.0
Arabica,Honduras,274,67 kg,Washed,7.58,7.5,7.42,10.0
Arabica,Brazil,305,59 kg,Natural,7.42,7.33,7.5,10.0
Arabica,El Salvador,275,69 kg,Washed,7.67,7.58,7.5,10.0
Arabica,Guatemala,275,69 kg,Washed,7.58,7.58,7.17,10.0
Arabica,"Tanzania, United Republic Of",114,60 kg,Washed,7.33,7.33,7.5,10.0
Arabica,Nicaragua,275,5 lbs,Washed,7.58,7.42,7.5,10.0
Arabica,Zambia,13,2 kg,Washed,7.67,7.08,7.75,10.0
Arabica,Honduras,1,2 kg,Washed,7.42,7.33,7.33,10.0
Arabica,Taiwan,35,30 kg,,7.5,7.5,7.5,10.0
Arabica,Mexico,450,1 kg,Washed,7.58,7.5,7.5,10.0
Arabica,Mexico,10,1 kg,Semi-Washed,7.5,7.5,7.5,10.0
Arabica,Mexico,10,1 kg,Washed,7.5,7.42,7.33,10.0
Arabica,Mexico,30,1 kg,Washed,7.33,7.58,7.42,10.0
Arabica,Mexico,62,1 kg,Washed,7.67,7.42,7.5,9.33
Arabica,Brazil,8,60 kg,Natural,7.42,7.58,7.33,10.0
Arabica,Guatemala,25,69 kg,Washed,7.42,7.5,7.33,10.0
Arabica,Costa Rica,15,46 kg,Pulped-Natural,7.25,7.33,7.67,10.0
Arabica,Brazil,200,59 kg,Natural,7.42,7.5,7.42,10.0
Arabica,Indonesia,166,30 kg,,7.75,7.83,7.92,10.0
Arabica,Guatemala,130,69 kg,Washed,7.58,7.5,7.58,10.0
Arabica,Brazil,320,2 kg,Natural,7.17,7.58,7.75,10.0
Arabica,Brazil,300,2 kg,Natural,7.58,7.0,7.67,10.0
Arabica,Myanmar,1,2 kg,Washed,7.33,7.58,7.33,10.0
Arabica,Mexico,250,2 kg,Washed,7.58,7.5,7.17,10.0
Arabica,Honduras,275,1 kg,Washed,7.5,7.5,7.42,10.0
Arabica,Costa Rica,275,18975 kg,Washed,7.67,7.5,7.08,10.0
Arabica,Taiwan,8,5 kg,Washed,7.67,7.33,7.75,10.0
Arabica,Indonesia,300,10 kg,,7.42,7.42,7.42,10.0
